date,WCE,world
1856-07,2.642,2.443
1856-08,1.738,2.442
1856-09,1.583,2.332
1856-10,1.351,2.132
1856-11,1.45,2.18
1856-12,2.441,2.344
1857-01,2.35,2.259
1857-02,2.076,2.372
1857-03,1.997,2.175
1857-04,1.597,2.35
1857-05,2.611,2.289
1857-06,2.063,2.457
1857-07,2.541,2.58
1857-08,3.218,2.528
1857-09,1.83,2.262
1857-10,1.815,2.21
1857-11,3.029,2.23
1857-12,1.364,2.364
1858-01,3.179,2.37
1858-02,2.394,2.411
1858-03,2.435,2.138
1858-04,2.562,2.24
1858-05,2.854,2.367
1858-06,2.728,2.392
1858-07,2.384,2.539
1858-08,2.953,2.513
1858-09,1.992,2.274
1858-10,2.76,2.236
1858-11,2.085,2.224
1858-12,1.814,2.078
1859-01,3.087,2.107
1859-02,2.334,2.158
1859-03,2.765,2.17
1859-04,2.358,2.345
1859-05,3.118,2.358
1859-06,3.664,2.445
1859-07,2.466,2.33
1859-08,1.831,2.454
1859-09,2.241,2.246
1859-10,2.985,2.188
1859-11,2.594,2.437
1859-12,3.241,2.251
1860-01,2.354,2.208
1860-02,2.356,2.265
1860-03,1.642,2.273
1860-04,2.377,2.46
1860-05,2.786,2.31
1860-06,2.856,2.446
1860-07,2.095,2.569
1860-08,1.615,2.417
1860-09,2.532,2.285
1860-10,1.919,2.132
1860-11,2.679,2.444
1860-12,2.815,2.3
1861-01,1.931,2.338
1861-02,1.981,2.381
1861-03,2.04,2.366
1861-04,1.841,2.243
1861-05,3.129,2.159
1861-06,2.863,2.422
1861-07,1.732,2.418
1861-08,1.021,2.447
1861-09,2.238,2.066
1861-10,2.081,2.203
1861-11,2.102,2.227
1861-12,1.533,2.243
1862-01,1.278,2.165
1862-02,1.728,2.358
1862-03,2.256,2.278
1862-04,3.149,2.219
1862-05,3.514,2.457
1862-06,3.099,2.497
1862-07,2.455,2.485
1862-08,3.053,2.451
1862-09,1.556,2.229
1862-10,1.974,2.249
1862-11,2.653,2.292
1862-12,2.463,2.314
1863-01,1.9,2.249
1863-02,1.094,2.466
1863-03,2.606,2.268
1863-04,2.325,2.349
1863-05,2.179,2.212
1863-06,2.959,2.439
1863-07,2.013,2.619
1863-08,1.835,2.361
1863-09,1.677,2.185
1863-10,2.971,2.138
1863-11,2.921,2.539
1863-12,2.781,2.285
1864-01,2.35,2.315
1864-02,1.89,2.285
1864-03,2.045,2.303
1864-04,2.58,2.192
1864-05,3.307,2.199
1864-06,2.785,2.377
1864-07,2.584,2.466
1864-08,1.885,2.382
1864-09,2.124,2.177
1864-10,2.695,2.198
1864-11,1.968,2.293
1864-12,1.655,2.287
1865-01,1.6,2.496
1865-02,1.256,2.282
1865-03,2.444,2.386
1865-04,2.836,2.307
1865-05,2.605,2.358
1865-06,3.179,2.466
1865-07,3.065,2.583
1865-08,2.226,2.484
1865-09,2.11,2.288
1865-10,1.999,2.314
1865-11,2.645,2.33
1865-12,2.83,2.293
1866-01,0.974,2.293
1866-02,2.337,2.495
1866-03,2.135,2.405
1866-04,2.766,2.271
1866-05,2.446,2.258
1866-06,2.631,2.365
1866-07,2.11,2.46
1866-08,1.752,2.398
1866-09,1.579,2.172
1866-10,2.407,2.14
1866-11,2.375,2.258
1866-12,2.473,2.222
1867-01,1.398,2.409
1867-02,2.811,2.433
1867-03,1.882,2.038
1867-04,2.558,2.301
1867-05,2.702,2.337
1867-06,2.76,2.395
1867-07,2.86,2.652
1867-08,2.481,2.619
1867-09,2.19,2.418
1867-10,2.074,2.325
1867-11,3.034,2.383
1867-12,2.831,2.497
1868-01,2.628,2.224
1868-02,2.509,2.438
1868-03,3.369,2.38
1868-04,2.016,2.298
1868-05,2.445,2.424
1868-06,1.831,2.428
1868-07,3.086,2.711
1868-08,1.335,2.445
1868-09,2.058,2.366
1868-10,2.248,2.233
1868-11,3.303,2.423
1868-12,2.443,2.25
1869-01,1.374,2.167
1869-02,1.294,2.47
1869-03,2.778,2.308
1869-04,2.626,2.259
1869-05,2.771,2.198
1869-06,3.525,2.378
1869-07,2.254,2.491
1869-08,1.827,2.429
1869-09,1.803,2.25
1869-10,1.681,2.223
1869-11,2.406,2.313
1869-12,2.495,2.162
1870-01,1.549,2.234
1870-02,2.351,2.276
1870-03,1.788,2.45
1870-04,2.465,2.331
1870-05,3.341,2.24
1870-06,2.752,2.32
1870-07,3.044,2.551
1870-08,2.871,2.547
1870-09,2.24,2.513
1870-10,1.864,2.273
1870-11,2.716,2.345
1870-12,2.826,2.468
1871-01,1.193,2.308
1871-02,1.864,2.181
1871-03,2.343,2.458
1871-04,3.147,2.219
1871-05,1.999,2.334
1871-06,2.369,2.35
1871-07,2.652,2.474
1871-08,2.142,2.376
1871-09,2.275,2.141
1871-10,1.799,2.249
1871-11,1.975,2.23
1871-12,2.306,2.222
1872-01,2.257,2.2
1872-02,2.311,2.172
1872-03,1.832,2.218
1872-04,3.011,2.403
1872-05,2.814,2.393
1872-06,3.142,2.382
1872-07,2.847,2.474
1872-08,2.479,2.661
1872-09,2.138,2.348
1872-10,2.298,2.232
1872-11,2.408,2.174
1872-12,2.63,2.493
1873-01,1.495,2.239
1873-02,2.031,2.307
1873-03,1.923,2.407
1873-04,2.078,2.316
1873-05,3.297,2.369
1873-06,2.488,2.381
1873-07,2.449,2.52
1873-08,1.77,2.551
1873-09,1.236,2.246
1873-10,1.567,2.245
1873-11,2.929,2.187
1873-12,2.383,2.157
1874-01,2.181,2.194
1874-02,2.27,2.212
1874-03,2.44,2.322
1874-04,2.25,2.319
1874-05,3.162,2.415
1874-06,2.353,2.328
1874-07,1.819,2.445
1874-08,2.784,2.305
1874-09,2.285,2.272
1874-10,2.962,2.098
1874-11,1.413,2.257
1874-12,1.465,2.198
1875-01,1.919,2.465
1875-02,1.182,2.369
1875-03,2.17,2.309
1875-04,2.288,2.196
1875-05,3.234,2.298
