date,WCE,world
2015-01,1.698,2.333
2015-02,1.815,2.374
2015-03,2.617,2.368
2015-04,2.137,2.261
2015-05,3.116,2.417
2015-06,2.855,2.396
2015-07,3.011,2.632
2015-08,3.041,2.483
2015-09,1.687,2.22
2015-10,1.128,2.125
2015-11,3.253,2.364
2015-12,2.385,2.599
2016-01,1.097,2.455
2016-02,2.144,2.35
2016-03,2.449,2.428
2016-04,2.198,2.463
2016-05,2.412,2.471
2016-06,2.273,2.427
2016-07,2.976,2.484
2016-08,1.162,2.492
2016-09,1.6,2.244
2016-10,2.628,2.263
2016-11,2.444,2.344
2016-12,2.759,2.42
2017-01,2.03,2.246
2017-02,1.301,2.56
2017-03,1.958,2.357
2017-04,2.373,2.24
2017-05,3.258,2.215
2017-06,2.576,2.423
2017-07,2.258,2.407
2017-08,2.888,2.378
2017-09,1.718,2.163
2017-10,2.254,2.283
2017-11,1.877,2.232
2017-12,1.943,2.258
2018-01,2.567,2.314
2018-02,2.612,2.37
2018-03,2.875,2.341
2018-04,3.327,2.313
2018-05,2.618,2.486
2018-06,2.8,2.573
2018-07,2.645,2.678
2018-08,2.709,2.636
2018-09,1.805,2.373
2018-10,2.008,2.199
2018-11,2.521,2.402
2018-12,2.302,2.586
2019-01,1.609,2.349
2019-02,2.12,2.467
2019-03,3.474,2.401
2019-04,2.824,2.318
2019-05,2.439,2.351
2019-06,3.58,2.4
2019-07,2.051,2.49
2019-08,1.866,2.364
2019-09,2.213,2.319
2019-10,2.688,2.193
2019-11,2.355,2.247
2019-12,3.233,2.228
2020-01,2.285,2.311
2020-02,3.124,2.328
2020-03,1.437,2.362
2020-04,2.424,2.394
2020-05,2.099,2.446
2020-06,3.445,2.431
2020-07,2.058,2.635
2020-08,2.074,2.611
2020-09,1.655,2.389
2020-10,2.071,2.397
2020-11,2.499,2.441
2020-12,1.84,2.383
2021-01,2.648,2.362
2021-02,2.201,2.538
2021-03,2.535,2.402
2021-04,1.9,2.292
2021-05,2.763,2.207
2021-06,2.413,2.241
2021-07,2.228,2.481
2021-08,2.686,2.347
2021-09,1.488,2.052
2021-10,1.941,2.172
2021-11,1.961,2.409
2021-12,3.141,2.341
2022-01,2.188,2.384
2022-02,1.822,2.436
2022-03,2.785,2.24
2022-04,2.474,2.369
2022-05,2.692,2.429
2022-06,2.046,2.56
2022-07,2.447,2.638
2022-08,1.825,2.533
2022-09,2.333,2.56
2022-10,1.373,2.433
2022-11,2.865,2.355
2022-12,1.372,2.463
2023-01,2.376,2.305
2023-02,3.146,2.463
2023-03,2.704,2.291
2023-04,2.717,2.286
2023-05,3.446,2.299
2023-06,2.868,2.343
2023-07,2.416,2.622
2023-08,2.841,2.396
