date,WCE,world
2015-01,-4.766,4.178
2015-02,-0.401,3.805
2015-03,2.381,5.843
2015-04,10.82,9.541
2015-05,14.55,11.444
2015-06,18.321,13.666
2015-07,22.15,14.928
2015-08,19.521,14.341
2015-09,12.461,12.801
2015-10,5.797,10.457
2015-11,4.025,7.938
2015-12,-0.244,5.573
2016-01,-1.215,4.683
2016-02,-0.938,4.442
2016-03,3.326,6.766
2016-04,5.278,8.677
2016-05,12.135,11.606
2016-06,17.786,14.28
2016-07,20.722,15.157
2016-08,18.516,14.676
2016-09,15.479,12.832
2016-10,8.1,10.409
2016-11,2.232,6.923
2016-12,-1.98,4.979
2017-01,-6.727,3.936
2017-02,-2.488,4.997
2017-03,3.019,6.612
2017-04,6.42,8.979
2017-05,13.204,11.731
2017-06,19.354,14.155
2017-07,21.435,15.59
2017-08,18.26,14.833
2017-09,13.239,12.995
2017-10,6.806,10.832
2017-11,-0.855,8.004
2017-12,-5.34,5.51
2018-01,-1.257,4.461
2018-02,-2.583,4.563
2018-03,0.168,6.536
2018-04,8.862,8.96
2018-05,11.305,11.578
2018-06,18.348,13.489
2018-07,19.855,15.102
2018-08,17.376,14.716
2018-09,11.762,12.563
2018-10,8.147,10.315
2018-11,2.68,7.717
2018-12,1.111,5.22
2019-01,-4.688,4.018
2019-02,-4.002,4.739
2019-03,-1.229,6.46
2019-04,6.797,8.978
2019-05,13.242,11.696
2019-06,17.926,14.3
2019-07,21.31,15.69
2019-08,18.415,14.964
2019-09,13.15,12.983
2019-10,8.174,10.887
2019-11,3.369,7.439
2019-12,-2.581,5.762
2020-01,-5.865,4.094
2020-02,-1.759,4.457
2020-03,0.396,6.503
2020-04,6.11,9.209
2020-05,12.789,11.275
2020-06,16.433,13.901
2020-07,19.835,15.236
2020-08,17.333,14.699
2020-09,11.132,12.475
2020-10,7.661,11.043
2020-11,3.09,8.061
2020-12,-1.699,4.99
2021-01,-5.212,4.238
2021-02,-1.642,4.328
2021-03,3.598,6.565
2021-04,5.573,8.617
2021-05,11.804,11.918
2021-06,17.99,14.039
2021-07,19.827,15.581
2021-08,18.326,15.098
2021-09,12.992,12.985
2021-10,8.47,10.681
2021-11,-0.374,7.59
2021-12,-1.213,5.301
2022-01,-2.595,3.9
2022-02,0.833,4.273
2022-03,3.351,6.088
2022-04,7.837,9.035
2022-05,12.484,11.382
2022-06,18.97,13.98
2022-07,17.88,14.995
2022-08,18.508,14.501
2022-09,12.854,12.875
2022-10,8.29,10.395
2022-11,1.114,7.516
2022-12,-3.897,5.51
2023-01,-2.048,3.554
2023-02,-4.355,4.532
2023-03,1.553,6.481
2023-04,4.123,9.042
2023-05,11.481,11.599
2023-06,17.596,14.23
2023-07,20.276,15.259
2023-08,17.855,14.892
2023-09,15.245,13.199
2023-10,9.022,10.721
2023-11,-0.868,7.63
2023-12,-2.683,5.556
2024-01,-2.769,4.617
2024-02,-3.927,4.36
2024-03,2.4,6.08
2024-04,5.789,9.044
2024-05,12.093,11.272
2024-06,18.625,14.044
2024-07,18.193,15.441
2024-08,17.513,14.857
2024-09,13.066,12.646
2024-10,10.432,10.333
2024-11,2.387,7.438
2024-12,-1.181,4.955
2025-01,-0.87,3.925
2025-02,-1.854,3.735
2025-03,2.73,6.063
2025-04,6.689,9.248
2025-05,11.938,11.976
2025-06,16.095,13.997
2025-07,19.111,15.252
2025-08,17.799,14.882
2025-09,11.53,12.725
2025-10,7.052,10.291
2025-11,2.954,7.856
2025-12,1.471,5.386
2026-01,-1.439,4.646
2026-02,-0.42,4.862
2026-03,1.056,6.679
2026-04,6.393,9.427
2026-05,13.881,12.005
2026-06,18.001,14.315
2026-07,20.341,15.415
2026-08,17.234,14.808
2026-09,13.085,12.809
2026-10,9.157,10.537
2026-11,1.94,7.795
2026-12,-0.447,5.689
2027-01,-5.836,4.349
2027-02,-1.601,4.424
2027-03,-2.444,6.244
2027-04,4.957,8.669
2027-05,14.329,11.787
2027-06,17.685,14.171
2027-07,21.625,15.463
2027-08,17.56,15.018
2027-09,15.449,13.574
2027-10,8.088,11.072
2027-11,1.381,8.215
2027-12,-4.895,5.99
