date,WCE,world
2015-01,-7.025,3.912
2015-02,-6.566,4.014
2015-03,-3.255,5.409
2015-04,6.764,8.9
2015-05,11.451,11.251
2015-06,18.52,13.917
2015-07,18.145,15.252
2015-08,17.645,14.464
2015-09,11.715,12.767
2015-10,6.525,10.499
2015-11,3.028,7.833
2015-12,-0.624,5.388
2016-01,-7.942,3.488
2016-02,-1.271,3.778
2016-03,3.613,6.131
2016-04,5.968,8.389
2016-05,12.413,11.068
2016-06,17.715,13.351
2016-07,20.894,15.049
2016-08,18.22,14.545
2016-09,12.183,12.178
2016-10,5.279,10.228
2016-11,0.885,6.662
2016-12,-1.765,5.32
2017-01,-6.455,4.058
2017-02,-3.345,4.035
2017-03,2.954,5.941
2017-04,4.396,8.693
2017-05,10.703,11.425
2017-06,19.108,13.426
2017-07,20.046,15.143
2017-08,17.705,14.36
2017-09,13.653,12.754
2017-10,6.803,10.705
2017-11,0.612,7.83
2017-12,-4.281,5.375
2018-01,-2.793,4.724
2018-02,-3.393,4.383
2018-03,0.981,6.275
2018-04,5.703,9.234
2018-05,10.941,11.623
2018-06,17.925,13.857
2018-07,17.798,14.862
2018-08,17.315,14.411
2018-09,13.565,12.67
2018-10,7.578,9.971
2018-11,5.311,7.703
2018-12,-2.098,5.002
2019-01,-6.416,3.322
2019-02,-0.084,3.869
2019-03,2.737,6.081
2019-04,6.324,9.213
2019-05,11.592,11.29
2019-06,16.479,13.91
2019-07,21.007,14.925
2019-08,18.05,14.511
2019-09,12.23,12.533
2019-10,6.745,10.249
2019-11,3.513,7.468
2019-12,-3.587,5.098
2020-01,-6.76,4.015
2020-02,-3.943,4.563
2020-03,-0.304,6.212
2020-04,5.378,8.654
2020-05,13.879,11.376
2020-06,18.505,14.051
2020-07,19.651,14.922
2020-08,18.197,14.477
2020-09,13.693,12.557
2020-10,7.733,10.322
2020-11,1.033,7.24
2020-12,0.762,5.252
2021-01,-4.06,3.785
2021-02,-4.485,4.161
2021-03,-1.859,6.279
2021-04,4.862,8.715
2021-05,13.879,11.543
2021-06,18.625,13.951
2021-07,19.889,15.259
2021-08,18.703,14.545
2021-09,13.465,12.671
2021-10,5.325,10.406
2021-11,4.756,8.146
2021-12,0.311,5.405
2022-01,-2.879,3.764
2022-02,-2.936,4.987
2022-03,1.956,6.527
2022-04,7.273,9.299
2022-05,14.234,11.945
2022-06,21.773,14.426
2022-07,20.207,15.49
2022-08,18.188,14.67
2022-09,13.153,12.937
2022-10,7.982,10.233
2022-11,4.037,8.458
2022-12,-1.362,5.622
2023-01,-5.05,4.166
2023-02,-1.47,4.689
2023-03,1.812,6.283
2023-04,6.352,9.092
2023-05,11.819,11.773
2023-06,18.558,14.019
2023-07,18.812,15.617
2023-08,16.898,14.607
2023-09,12.038,13.016
2023-10,8.177,10.623
2023-11,1.932,8.285
2023-12,0.204,5.464
2024-01,-2.626,3.834
2024-02,-3.975,4.706
2024-03,-0.638,6.574
2024-04,6.345,9.454
2024-05,8.751,11.576
2024-06,17.719,13.997
2024-07,20.883,15.57
2024-08,16.834,14.959
2024-09,12.97,13.13
2024-10,6.069,10.441
2024-11,2.193,7.671
2024-12,-3.299,5.327
2025-01,-4.675,4.185
2025-02,-5.496,5.413
2025-03,-0.331,6.703
2025-04,6.895,8.799
2025-05,13.449,12.136
2025-06,18.587,14.314
2025-07,22.883,15.689
2025-08,17.629,15.022
2025-09,12.708,12.877
2025-10,7.501,10.235
2025-11,2.007,8.209
2025-12,0.848,5.92
2026-01,-6.027,3.734
2026-02,-1.641,3.936
2026-03,-0.608,6.039
2026-04,6.103,8.933
2026-05,11.755,11.891
2026-06,17.755,13.978
2026-07,22.764,15.341
2026-08,19.125,15.219
2026-09,13.806,13.108
2026-10,10.323,11.209
2026-11,4.127,8.77
2026-12,1.924,6.458
2027-01,0.427,5.96
2027-02,-4.009,5.2
2027-03,0.946,6.677
2027-04,4.78,9.189
2027-05,12.542,11.945
2027-06,16.452,14.304
2027-07,20.227,15.577
2027-08,18.293,15.039
2027-09,14.988,13.067
2027-10,8.07,11.088
2027-11,2.182,7.802
2027-12,-2.034,5.76
2028-01,-7.816,4.138
2028-02,-0.712,4.666
2028-03,5.96,7.276
2028-04,8.451,9.223
2028-05,10.716,12.045
2028-06,18.583,14.333
2028-07,18.443,15.403
2028-08,17.507,15.19
2028-09,13.959,13.183
2028-10,9.29,10.997
2028-11,-0.401,8.342
2028-12,1.545,5.89
2029-01,-3.342,4.792
2029-02,-1.902,4.321
2029-03,0.199,6.816
2029-04,4.62,9.342
2029-05,14.946,11.986
2029-06,18.967,14.803
2029-07,19.802,16.299
2029-08,18.711,15.28
2029-09,14.742,12.964
2029-10,8.13,10.993
2029-11,2.592,8.197
2029-12,-3.745,5.434
2030-01,-4.135,3.882
2030-02,-6.93,4.246
2030-03,0.525,6.032
2030-04,6.104,8.909
2030-05,11.706,11.734
2030-06,17.4,14.172
2030-07,19.261,15.193
2030-08,18.273,15.095
2030-09,14.556,13.228
2030-10,9.459,11.112
2030-11,3.3,8.204
2030-12,-1.557,6.182
2031-01,-4.687,4.274
2031-02,-0.749,5.218
2031-03,-1.448,7.212
2031-04,4.973,10.078
2031-05,11.999,12.061
2031-06,18.867,14.608
2031-07,17.929,15.401
2031-08,18.358,15.344
2031-09,13.391,13.147
2031-10,6.22,10.916
2031-11,1.305,8.051
2031-12,-1.366,5.452
2032-01,-1.502,4.599
2032-02,-1.883,5.079
2032-03,1.966,6.493
2032-04,7.198,9.421
2032-05,11.46,11.743
2032-06,16.827,14.253
2032-07,20.536,15.669
2032-08,16.806,15.283
2032-09,13.689,13.063
2032-10,5.554,10.695
2032-11,3.307,8.252
2032-12,-0.025,5.922
2033-01,-1.547,4.152
2033-02,-0.929,5.111
2033-03,3.788,7.022
2033-04,5.942,9.524
2033-05,12.477,11.89
2033-06,20.618,14.586
2033-07,21.836,15.95
2033-08,18.86,15.314
2033-09,14.64,13.315
2033-10,8.316,11.422
2033-11,3.237,8.522
2033-12,-0.662,6.145
2034-01,-4.13,3.969
2034-02,-2.367,4.889
2034-03,0.408,6.736
2034-04,7.555,9.694
2034-05,12.737,12.046
2034-06,19.145,14.556
2034-07,23.753,15.788
2034-08,20.398,15.303
2034-09,16.547,13.682
2034-10,10.545,11.885
2034-11,2.275,8.476
2034-12,0.946,6.255
2035-01,-0.329,4.7
2035-02,0.843,5.846
2035-03,2.272,7.426
2035-04,4.97,9.772
2035-05,11.959,12.105
2035-06,16.914,14.815
2035-07,19.682,15.968
2035-08,18.381,15.312
2035-09,14.936,13.437
2035-10,6.962,10.905
2035-11,-1.538,8.208
2035-12,-0.137,6.001
2036-01,-3.748,5.006
2036-02,-1.762,4.729
2036-03,2.953,6.684
2036-04,10.534,10.026
2036-05,9.822,12.054
2036-06,17.051,14.342
2036-07,18.809,15.143
2036-08,16.933,14.499
2036-09,14.674,12.685
2036-10,7.143,10.623
2036-11,0.748,7.774
2036-12,-1.16,6.016
2037-01,-1.472,4.501
2037-02,-0.775,4.45
2037-03,3.553,6.749
2037-04,4.901,9.118
2037-05,13.817,12.114
2037-06,18.99,14.187
2037-07,20.693,15.754
2037-08,18.611,15.497
2037-09,16.42,13.718
2037-10,8.944,11.224
2037-11,4.765,8.844
2037-12,1.454,6.378
2038-01,-5.514,4.785
2038-02,-2.678,6.007
2038-03,2.458,7.265
2038-04,8.068,9.985
2038-05,14.294,12.43
2038-06,19.355,14.822
2038-07,19.576,15.954
2038-08,18.689,15.574
2038-09,15.033,13.877
2038-10,7.602,11.182
2038-11,2.975,8.741
2038-12,0.273,6.308
2039-01,0.999,5.411
2039-02,-4.665,5.074
2039-03,2.153,7.061
2039-04,4.384,9.391
2039-05,11.178,12.05
2039-06,20.727,15.077
2039-07,19.98,15.914
2039-08,18.704,15.494
2039-09,13.209,13.312
2039-10,10.369,11.098
2039-11,1.5,9.001
2039-12,-4.747,6.318
2040-01,-1.642,5.231
2040-02,1.709,5.914
2040-03,6.495,7.691
2040-04,9.597,10.147
2040-05,12.686,12.853
2040-06,19.379,15.264
2040-07,21.432,16.497
2040-08,17.354,15.997
2040-09,17.228,14.047
2040-10,9.554,11.314
2040-11,1.828,8.814
2040-12,-1.181,6.466
2041-01,0.085,5.608
2041-02,0.774,5.641
2041-03,1.41,7.329
2041-04,7.017,9.446
2041-05,13.644,12.323
2041-06,19.976,15.097
2041-07,20.722,15.84
2041-08,19.964,15.378
2041-09,14.775,13.919
2041-10,8.146,11.27
2041-11,3.558,9.227
2041-12,-1.544,6.643
2042-01,-2.98,5.42
2042-02,-0.421,4.936
2042-03,2.598,7.369
2042-04,9.254,10.141
2042-05,12.125,12.397
2042-06,17.307,15.114
2042-07,20.559,16.395
2042-08,19.275,16.138
2042-09,16.224,13.976
2042-10,7.352,11.796
2042-11,4.504,8.886
2042-12,1.513,7.018
2043-01,-4.482,5.547
2043-02,-1.676,6.021
2043-03,3.247,8.026
2043-04,7.603,10.149
2043-05,13.955,13.023
2043-06,19.928,15.298
2043-07,21.978,16.671
2043-08,18.9,16.033
2043-09,14.855,13.999
2043-10,10.294,11.516
2043-11,2.372,8.629
2043-12,-1.098,6.634
2044-01,-1.356,5.311
2044-02,-2.66,5.276
2044-03,2.988,7.534
2044-04,10.393,9.809
2044-05,15.434,12.629
2044-06,21.306,14.862
2044-07,19.914,16.4
2044-08,19.621,15.927
2044-09,16.127,14.202
2044-10,7.396,11.606
2044-11,4.837,9.086
2044-12,1.87,6.81
2045-01,-3.629,5.111
2045-02,-2.528,5.807
2045-03,2.973,7.591
2045-04,7.225,10.323
2045-05,15.814,12.905
2045-06,20.136,15.323
2045-07,24.123,16.591
2045-08,19.975,16.056
2045-09,17.768,14.368
2045-10,10.581,11.806
2045-11,4.523,9.448
2045-12,-1.342,6.728
2046-01,-0.54,5.87
2046-02,-1.4,5.472
2046-03,0.658,7.411
2046-04,6.992,9.826
2046-05,13.421,12.701
2046-06,17.879,15.212
2046-07,20.656,16.49
2046-08,18.676,16.157
2046-09,14.635,14.07
2046-10,8.149,11.736
2046-11,4.082,9.556
2046-12,-0.603,6.498
2047-01,-0.771,5.872
2047-02,-2.609,5.107
2047-03,2.023,7.429
2047-04,7.597,9.874
2047-05,16.123,13.096
2047-06,20.602,15.452
2047-07,21.91,16.866
2047-08,21.639,16.572
2047-09,13.668,14.496
2047-10,11.827,12.177
2047-11,4.609,9.68
2047-12,1.286,6.552
2048-01,-3.59,5.795
2048-02,0.267,6.234
2048-03,3.902,7.933
2048-04,4.39,10.11
2048-05,15.327,12.965
2048-06,19.222,15.391
2048-07,24.951,16.638
2048-08,18.385,16.066
2048-09,11.635,14.251
2048-10,6.647,11.723
2048-11,4.508,9.406
2048-12,3.456,7.398
2049-01,0.045,6.023
2049-02,0.18,6.417
2049-03,1.834,8.181
2049-04,5.121,10.736
2049-05,11.798,12.674
2049-06,18.634,15.22
2049-07,21.552,16.688
2049-08,20.382,15.894
2049-09,17.153,13.896
2049-10,10.913,11.957
2049-11,0.11,8.725
2049-12,2.383,6.414
2050-01,0.824,5.03
2050-02,1.586,6.152
2050-03,3.805,7.723
2050-04,4.198,10.325
2050-05,14.154,12.81
2050-06,17.805,14.958
2050-07,20.59,16.386
2050-08,18.63,16.159
2050-09,15.657,14.031
2050-10,9.564,12.475
2050-11,4.737,9.689
2050-12,0.5,6.415
2051-01,-1.946,6.125
2051-02,0.627,6.515
2051-03,4.926,8.227
2051-04,8.183,10.308
2051-05,13.817,13.242
2051-06,17.993,15.579
2051-07,19.779,16.671
2051-08,19.703,15.903
2051-09,13.39,14.04
2051-10,9.332,11.602
2051-11,3.476,9.59
2051-12,-3.846,6.794
2052-01,-0.48,6.308
2052-02,-4.08,5.406
2052-03,2.913,7.422
2052-04,7.615,10.196
2052-05,13.093,12.918
2052-06,20.6,15.535
2052-07,20.042,16.544
2052-08,20.604,16.263
2052-09,15.327,14.386
2052-10,7.966,11.705
2052-11,4.088,9.206
2052-12,0.628,7.151
2053-01,-0.011,6.075
2053-02,-1.277,6.435
2053-03,4.249,8.058
2053-04,6.766,10.737
2053-05,14.677,12.884
2053-06,18.663,15.763
2053-07,19.836,16.869
2053-08,17.429,16.575
2053-09,14.165,14.535
2053-10,10.165,12.485
2053-11,5.29,9.505
2053-12,4.148,7.562
2054-01,0.65,6.27
2054-02,-1.274,6.287
2054-03,2.387,7.925
2054-04,5.357,10.443
2054-05,13.2,13.048
2054-06,18.729,15.323
2054-07,21.321,16.253
2054-08,19.358,16.173
2054-09,14.819,14.36
2054-10,9.664,12.26
2054-11,5.653,9.807
2054-12,-1.563,7.405
2055-01,-4.457,5.711
2055-02,-3.051,5.87
2055-03,3.429,8.438
2055-04,10.055,11.058
2055-05,15.308,13.43
2055-06,19.343,16.063
2055-07,23.24,16.991
2055-08,21.659,16.647
2055-09,14.093,14.508
2055-10,9.902,12.459
2055-11,4.726,9.797
2055-12,3.459,8.035
2056-01,2.966,7.064
2056-02,4.75,6.957
2056-03,2.6,8.414
2056-04,9.922,10.984
2056-05,14.09,13.154
2056-06,20.85,16.045
2056-07,23.47,17.269
2056-08,20.96,16.511
2056-09,14.4,14.695
2056-10,11.07,12.419
2056-11,3.371,9.166
2056-12,-0.897,7.544
2057-01,-5.056,5.443
2057-02,0.87,5.941
2057-03,5.405,7.668
2057-04,7.843,10.606
2057-05,16.814,12.926
2057-06,21.469,15.772
2057-07,22.597,17.322
2057-08,21.56,16.332
2057-09,15.229,14.334
2057-10,10.618,12.413
2057-11,5.659,10.209
2057-12,-0.593,7.432
2058-01,-2.417,5.383
2058-02,-2.107,5.996
2058-03,2.581,7.83
2058-04,7.797,10.576
2058-05,14.363,13.526
2058-06,20.13,15.569
2058-07,23.083,17.379
2058-08,20.874,16.811
2058-09,18.02,14.841
2058-10,8.142,12.746
2058-11,4.061,9.993
2058-12,1.897,7.909
2059-01,0.497,7.126
2059-02,0.019,7.227
2059-03,5.046,8.891
2059-04,6.86,11.104
2059-05,13.745,13.563
2059-06,20.792,16.018
2059-07,25.924,17.559
2059-08,21.578,16.83
2059-09,16.863,15.167
2059-10,9.326,12.793
2059-11,3.814,9.759
2059-12,-0.83,7.24
2060-01,-3.366,6.095
2060-02,0.235,6.07
2060-03,5.937,7.875
2060-04,9.103,10.22
2060-05,14.862,12.612
2060-06,20.705,15.707
2060-07,22.718,17.021
2060-08,22.782,16.617
2060-09,17.002,14.693
2060-10,9.154,12.515
2060-11,4.296,9.524
2060-12,-0.086,7.079
2061-01,-1.012,6.055
2061-02,-2.037,6.657
2061-03,0.941,7.868
2061-04,4.942,10.476
2061-05,13.992,13.343
2061-06,21.244,15.68
2061-07,23.942,16.814
2061-08,19.915,16.741
2061-09,16.264,14.969
2061-10,10.382,12.709
2061-11,5.438,10.223
2061-12,1.068,7.529
2062-01,0.172,7.013
2062-02,0.774,7.433
2062-03,3.122,8.787
2062-04,8.906,11.212
2062-05,14.013,13.503
2062-06,18.242,16.273
2062-07,22.148,17.203
2062-08,20.497,16.485
2062-09,16.079,14.746
2062-10,8.658,12.443
2062-11,3.884,9.796
2062-12,1.965,7.304
2063-01,2.257,6.499
2063-02,4.803,6.653
2063-03,5.898,8.679
2063-04,9.289,10.701
2063-05,17.018,13.47
2063-06,20.567,16.249
2063-07,22.77,17.416
2063-08,21.21,16.709
2063-09,17.517,14.615
2063-10,11.467,12.358
2063-11,3.438,9.595
2063-12,0.134,7.357
2064-01,-4.894,6.131
2064-02,-2.403,6.544
2064-03,4.335,8.065
2064-04,8.954,10.684
2064-05,14.8,13.411
2064-06,17.447,15.574
2064-07,21.854,16.868
2064-08,20.909,16.592
2064-09,14.084,14.662
2064-10,9.63,12.477
2064-11,2.758,9.715
2064-12,-0.678,7.619
2065-01,-3.009,6.632
2065-02,0.388,6.342
2065-03,3.085,8.596
2065-04,9.533,11.25
2065-05,13.314,13.588
2065-06,19.854,16.007
2065-07,23.283,17.516
2065-08,20.798,17.15
2065-09,17.448,14.855
2065-10,10.518,13.164
2065-11,4.563,10.299
2065-12,0.094,7.317
2066-01,0.961,6.564
2066-02,2.051,6.437
2066-03,4.084,7.692
2066-04,8.792,10.296
2066-05,12.791,13.329
2066-06,19.255,15.782
2066-07,23.701,17.03
2066-08,21.528,16.587
2066-09,16.589,14.61
2066-10,9.69,12.585
2066-11,4.559,9.636
2066-12,0.36,7.635
2067-01,-1.069,6.226
2067-02,-1.825,6.255
2067-03,4.059,8.279
2067-04,6.384,10.771
2067-05,13.032,13.035
2067-06,20.81,15.52
2067-07,20.791,17.326
2067-08,19.233,16.716
2067-09,15.518,14.998
2067-10,7.662,12.503
2067-11,6.518,10.664
2067-12,0.994,8.117
2068-01,0.395,6.226
2068-02,2.706,7.158
2068-03,5.377,8.46
2068-04,8.05,10.9
2068-05,15.61,13.747
2068-06,19.256,15.9
2068-07,24.14,17.498
2068-08,21.313,16.909
2068-09,16.36,14.972
2068-10,10.701,13.142
2068-11,3.492,9.982
2068-12,-2.982,6.872
2069-01,-2.057,5.779
2069-02,0.428,6.635
2069-03,1.348,8.37
2069-04,10.777,10.759
2069-05,14.35,13.706
2069-06,19.117,16.081
2069-07,24.373,17.658
2069-08,22.403,17.189
2069-09,15.12,15.442
2069-10,10.465,13.176
2069-11,3.702,10.165
2069-12,-1.486,7.633
2070-01,-3.615,5.982
2070-02,-1.483,6.748
2070-03,2.717,8.516
2070-04,7.567,11.134
2070-05,12.782,13.856
2070-06,19.269,16.365
2070-07,23.281,17.814
2070-08,19.066,16.827
2070-09,13.395,14.899
2070-10,10.598,12.69
2070-11,5.184,10.891
2070-12,-0.241,7.605
2071-01,1.451,6.801
2071-02,1.694,7.252
2071-03,4.318,9.364
2071-04,10.796,11.427
2071-05,11.666,13.774
2071-06,21.56,16.459
2071-07,24.641,17.84
2071-08,22.081,17.269
2071-09,17.335,15.237
2071-10,11.985,12.934
2071-11,0.657,9.982
2071-12,-1.166,8.143
2072-01,-1.926,6.783
2072-02,-1.807,7.009
2072-03,4.767,9.07
2072-04,8.377,11.243
2072-05,13.774,13.673
2072-06,21.05,16.131
2072-07,23.352,17.708
2072-08,19.106,17.031
2072-09,16.711,15.354
2072-10,8.553,12.71
2072-11,2.058,9.544
2072-12,-1.807,7.717
2073-01,-8.794,5.756
2073-02,0.822,6.655
2073-03,2.335,8.477
2073-04,6.933,11.346
2073-05,12.017,13.696
2073-06,18.91,16.314
2073-07,21.449,17.258
2073-08,20.912,17.206
2073-09,14.337,15.186
2073-10,10.795,12.756
2073-11,5.621,10.79
2073-12,3.172,8.24
2074-01,0.366,7.165
2074-02,1.692,7.104
2074-03,2.247,8.79
2074-04,7.817,11.146
2074-05,15.127,13.624
2074-06,17.433,16.297
2074-07,21.974,17.444
2074-08,20.126,17.077
2074-09,15.96,14.556
2074-10,13.879,13.02
2074-11,6.116,10.241
2074-12,0.385,8.332
2075-01,-1.372,7.123
2075-02,-2.557,6.67
2075-03,0.057,8.433
2075-04,7.326,10.598
2075-05,11.352,13.623
2075-06,20.659,16.282
2075-07,22.897,17.76
2075-08,20.448,17.424
2075-09,15.933,15.785
2075-10,9.742,13.133
2075-11,0.821,10.227
2075-12,-2.068,7.497
2076-01,0.288,6.92
2076-02,1.114,6.757
2076-03,3.68,8.446
2076-04,8.573,11.365
2076-05,16.321,14.064
2076-06,21.168,16.572
2076-07,24.285,18.006
2076-08,21.685,17.364
2076-09,14.462,15.203
2076-10,9.562,12.851
2076-11,3.102,10.239
2076-12,0.197,8.029
2077-01,-0.114,7.198
2077-02,0.212,7.158
2077-03,3.719,9.271
2077-04,8.234,10.957
2077-05,14.966,13.582
2077-06,21.388,15.989
2077-07,21.948,17.576
2077-08,19.914,17.088
2077-09,14.734,14.955
2077-10,10.144,12.684
2077-11,4.853,9.87
2077-12,0.574,7.616
2078-01,-4.829,5.855
2078-02,-0.505,5.95
2078-03,3.203,7.646
2078-04,6.457,10.442
2078-05,14.28,13.467
2078-06,20.234,15.864
2078-07,20.423,17.228
2078-08,20.608,16.956
2078-09,16.586,15.35
2078-10,10.473,12.831
2078-11,2.386,10.34
2078-12,-1.066,7.937
2079-01,-4.639,6.866
2079-02,-1.672,7.475
2079-03,4.213,9.344
2079-04,7.075,11.081
2079-05,14.281,14.186
2079-06,20.125,16.675
2079-07,24.976,17.561
2079-08,21.656,17.289
2079-09,17.227,15.139
2079-10,10.634,13.204
2079-11,6.605,10.759
2079-12,3.35,8.062
2080-01,0.06,6.774
2080-02,2.236,7.093
2080-03,5.405,8.667
2080-04,10.753,11.272
2080-05,13.995,13.856
2080-06,22.968,16.23
2080-07,23.798,17.736
2080-08,20.343,17.297
2080-09,16.996,15.578
2080-10,11.926,13.004
2080-11,4.885,10.935
2080-12,2.865,8.543
2081-01,-2.097,7.504
2081-02,-3.678,7.851
2081-03,0.575,9.351
2081-04,8.91,11.583
2081-05,15.101,14.069
2081-06,18.213,16.283
2081-07,24.261,17.742
2081-08,22.835,17.477
2081-09,16.429,15.23
2081-10,9.503,12.786
2081-11,5.048,10.222
2081-12,1.415,8.024
2082-01,-1.287,6.649
2082-02,0.894,6.615
2082-03,3.113,8.462
2082-04,9.376,11.252
2082-05,13.742,13.905
2082-06,23.016,16.589
2082-07,25.44,17.951
2082-08,21.192,16.987
2082-09,15.985,14.961
2082-10,7.738,12.543
2082-11,3.853,10.176
2082-12,0.167,7.816
2083-01,1.429,6.925
2083-02,0.105,7.017
2083-03,7.572,9.36
2083-04,8.358,11.54
2083-05,14.541,13.871
2083-06,19.5,16.431
2083-07,25.892,18.239
2083-08,22.212,17.853
2083-09,15.861,15.496
2083-10,10.729,13.062
2083-11,4.991,10.841
2083-12,1.63,8.113
2084-01,0.674,7.197
2084-02,-1.488,7.492
2084-03,3.513,8.614
2084-04,9.197,11
2084-05,13.408,13.494
2084-06,21.45,16.37
2084-07,21.601,17.869
2084-08,21.394,17.415
2084-09,18.399,15.894
2084-10,8.128,13.121
2084-11,1.304,10.307
2084-12,-3.297,8.177
2085-01,-0.087,7.11
2085-02,0.537,7.592
2085-03,5.121,9.205
2085-04,7.571,11.466
2085-05,16.332,14.077
2085-06,21.82,16.622
2085-07,24.818,18.024
2085-08,21.009,17.448
2085-09,18.036,15.617
2085-10,11.314,13.421
2085-11,4.716,10.628
2085-12,1.368,8.54
2086-01,0.825,7.176
2086-02,-2.002,7.036
2086-03,1.144,8.702
2086-04,7.76,11.017
2086-05,16.9,13.51
2086-06,20.818,16.357
2086-07,23.129,18.059
2086-08,22.04,17.32
2086-09,15.898,15.496
2086-10,10.922,13.535
